Value List,Value,Source Status,Source File,Source Line / Location,Used By Entity,Notes,Approval Status
ATTR_KEYS,throwing,existing-code,harness/seeded-roster.js,23,,Discovered constant/list value.,pending-review
ATTR_KEYS,decisions,existing-code,harness/seeded-roster.js,23,,Discovered constant/list value.,pending-review
ATTR_KEYS,anticipation,existing-code,harness/seeded-roster.js,23,,Discovered constant/list value.,pending-review
ATTR_KEYS,composure,existing-code,harness/seeded-roster.js,23,,Discovered constant/list value.,pending-review
ATTR_KEYS,concentration,existing-code,harness/seeded-roster.js,23,,Discovered constant/list value.,pending-review
ATTR_KEYS,technique,existing-code,harness/seeded-roster.js,23,,Discovered constant/list value.,pending-review
ATTR_KEYS,vision,existing-code,harness/seeded-roster.js,23,,Discovered constant/list value.,pending-review
ATTR_KEYS,ballCarrying,existing-code,harness/seeded-roster.js,24,,Discovered constant/list value.,pending-review
ATTR_KEYS,catching,existing-code,harness/seeded-roster.js,24,,Discovered constant/list value.,pending-review
ATTR_KEYS,routeRunning,existing-code,harness/seeded-roster.js,24,,Discovered constant/list value.,pending-review
ATTR_KEYS,firstTouch,existing-code,harness/seeded-roster.js,24,,Discovered constant/list value.,pending-review
ATTR_KEYS,passBlocking,existing-code,harness/seeded-roster.js,24,,Discovered constant/list value.,pending-review
ATTR_KEYS,runBlocking,existing-code,harness/seeded-roster.js,24,,Discovered constant/list value.,pending-review
ATTR_KEYS,passRush,existing-code,harness/seeded-roster.js,25,,Discovered constant/list value.,pending-review
ATTR_KEYS,tackling,existing-code,harness/seeded-roster.js,25,,Discovered constant/list value.,pending-review
ATTR_KEYS,coverage,existing-code,harness/seeded-roster.js,25,,Discovered constant/list value.,pending-review
ATTR_KEYS,strength,existing-code,harness/seeded-roster.js,25,,Discovered constant/list value.,pending-review
ATTR_KEYS,positioning,existing-code,harness/seeded-roster.js,25,,Discovered constant/list value.,pending-review
ATTR_KEYS,determination,existing-code,harness/seeded-roster.js,25,,Discovered constant/list value.,pending-review
ATTR_KEYS,aggression,existing-code,harness/seeded-roster.js,25,,Discovered constant/list value.,pending-review
ATTR_KEYS,pace,existing-code,harness/seeded-roster.js,26,,Discovered constant/list value.,pending-review
ATTR_KEYS,acceleration,existing-code,harness/seeded-roster.js,26,,Discovered constant/list value.,pending-review
