gameId,seasonYear,week,date,homeProgramId,awayProgramId,neutralSite,stadiumId,conferenceGame,rivalryGame,kickoffTime,tvNetwork,status,homeScore,awayScore
game_2026_w01_0001,2026,1,2026-08-08,program_ucla,program_washington_state,False,stadium_ucla,False,False,14:30 CT,NBC,scheduled,,
game_2026_w01_0002,2026,1,2026-08-08,program_notre_dame,program_west_virginia,False,stadium_notre_dame,False,False,18:30 CT,FS1,scheduled,,
game_2026_w01_0003,2026,1,2026-08-08,program_memphis,program_georgia_tech,False,stadium_memphis,False,False,14:30 CT,ESPN2,scheduled,,
game_2026_w01_0004,2026,1,2026-08-08,program_northern_illinois,program_illinois,False,stadium_northern_illinois,False,False,14:30 CT,ESPN2,scheduled,,
game_2026_w01_0005,2026,1,2026-08-08,program_indiana,program_kentucky,False,stadium_indiana,False,False,11:00 CT,CW,scheduled,,
game_2026_w01_0006,2026,1,2026-08-08,program_tulane,program_ucf,False,stadium_tulane,False,False,18:30 CT,ESPN2,scheduled,,
game_2026_w01_0007,2026,1,2026-08-08,program_washington,program_byu,False,stadium_washington,False,False,19:00 CT,FOX,scheduled,,
game_2026_w01_0008,2026,1,2026-08-08,program_navy,program_nevada,False,stadium_navy,False,False,11:00 CT,CW,scheduled,,
game_2026_w01_0009,2026,1,2026-08-08,program_uconn,program_alabama,False,stadium_uconn,False,False,14:30 CT,CBS,scheduled,,
game_2026_w01_0010,2026,1,2026-08-08,program_duke,program_middle_tennessee,False,stadium_duke,False,False,14:30 CT,NBC,scheduled,,
game_2026_w01_0011,2026,1,2026-08-08,program_virginia,program_marshall,False,stadium_virginia,False,False,11:00 CT,Streaming,scheduled,,
game_2026_w01_0012,2026,1,2026-08-08,program_east_carolina,program_texas_state,False,stadium_east_carolina,False,False,14:30 CT,TBD,scheduled,,
game_2026_w01_0013,2026,1,2026-08-08,program_army,program_umass,False,stadium_army,False,False,14:30 CT,CW,scheduled,,
game_2026_w01_0014,2026,1,2026-08-08,program_new_mexico_state,program_sacramento_state,False,stadium_new_mexico_state,False,False,19:00 CT,ABC,scheduled,,
game_2026_w01_0015,2026,1,2026-08-08,program_san_jose_state,program_buffalo,False,stadium_san_jose_state,False,False,19:00 CT,NBC,scheduled,,
game_2026_w01_0016,2026,1,2026-08-08,program_ohio_state,program_kansas,False,stadium_ohio_state,False,False,19:00 CT,FOX,scheduled,,
game_2026_w01_0017,2026,1,2026-08-08,program_ole_miss,program_uab,False,stadium_ole_miss,False,False,19:00 CT,ABC,scheduled,,
game_2026_w01_0018,2026,1,2026-08-08,program_toledo,program_nebraska,False,stadium_toledo,False,False,18:30 CT,TBD,scheduled,,
game_2026_w01_0019,2026,1,2026-08-08,program_minnesota,program_south_carolina,False,stadium_minnesota,False,False,19:00 CT,TBD,scheduled,,
game_2026_w01_0020,2026,1,2026-08-08,program_florida,program_southern_miss,False,stadium_florida,False,False,18:30 CT,CW,scheduled,,
game_2026_w01_0021,2026,1,2026-08-08,program_michigan_state,program_delaware,False,stadium_michigan_state,False,False,14:30 CT,CW,scheduled,,
game_2026_w01_0022,2026,1,2026-08-08,program_bowling_green,program_louisville,False,stadium_bowling_green,False,False,11:00 CT,FS1,scheduled,,
game_2026_w01_0023,2026,1,2026-08-08,program_fiu,program_michigan,False,stadium_fiu,False,False,14:30 CT,FOX,scheduled,,
game_2026_w01_0024,2026,1,2026-08-08,program_temple,program_syracuse,False,stadium_temple,False,False,18:30 CT,NBC,scheduled,,
game_2026_w01_0025,2026,1,2026-08-08,program_north_dakota_state,program_western_kentucky,False,stadium_north_dakota_state,False,False,11:00 CT,TBD,scheduled,,
