scheduleId,programId,gameId,seasonYear,week,opponentProgramId,homeAwayNeutral,result,score
sched_program_ucla_w01,program_ucla,game_2026_w01_0001,2026,1,program_washington_state,home,,
sched_program_washington_state_w01,program_washington_state,game_2026_w01_0001,2026,1,program_ucla,away,,
sched_program_notre_dame_w01,program_notre_dame,game_2026_w01_0002,2026,1,program_west_virginia,home,,
sched_program_west_virginia_w01,program_west_virginia,game_2026_w01_0002,2026,1,program_notre_dame,away,,
sched_program_memphis_w01,program_memphis,game_2026_w01_0003,2026,1,program_georgia_tech,home,,
sched_program_georgia_tech_w01,program_georgia_tech,game_2026_w01_0003,2026,1,program_memphis,away,,
sched_program_northern_illinois_w01,program_northern_illinois,game_2026_w01_0004,2026,1,program_illinois,home,,
sched_program_illinois_w01,program_illinois,game_2026_w01_0004,2026,1,program_northern_illinois,away,,
sched_program_indiana_w01,program_indiana,game_2026_w01_0005,2026,1,program_kentucky,home,,
sched_program_kentucky_w01,program_kentucky,game_2026_w01_0005,2026,1,program_indiana,away,,
sched_program_tulane_w01,program_tulane,game_2026_w01_0006,2026,1,program_ucf,home,,
sched_program_ucf_w01,program_ucf,game_2026_w01_0006,2026,1,program_tulane,away,,
sched_program_washington_w01,program_washington,game_2026_w01_0007,2026,1,program_byu,home,,
sched_program_byu_w01,program_byu,game_2026_w01_0007,2026,1,program_washington,away,,
sched_program_navy_w01,program_navy,game_2026_w01_0008,2026,1,program_nevada,home,,
sched_program_nevada_w01,program_nevada,game_2026_w01_0008,2026,1,program_navy,away,,
sched_program_uconn_w01,program_uconn,game_2026_w01_0009,2026,1,program_alabama,home,,
sched_program_alabama_w01,program_alabama,game_2026_w01_0009,2026,1,program_uconn,away,,
sched_program_duke_w01,program_duke,game_2026_w01_0010,2026,1,program_middle_tennessee,home,,
sched_program_middle_tennessee_w01,program_middle_tennessee,game_2026_w01_0010,2026,1,program_duke,away,,
sched_program_virginia_w01,program_virginia,game_2026_w01_0011,2026,1,program_marshall,home,,
sched_program_marshall_w01,program_marshall,game_2026_w01_0011,2026,1,program_virginia,away,,
sched_program_east_carolina_w01,program_east_carolina,game_2026_w01_0012,2026,1,program_texas_state,home,,
sched_program_texas_state_w01,program_texas_state,game_2026_w01_0012,2026,1,program_east_carolina,away,,
sched_program_army_w01,program_army,game_2026_w01_0013,2026,1,program_umass,home,,
sched_program_umass_w01,program_umass,game_2026_w01_0013,2026,1,program_army,away,,
sched_program_new_mexico_state_w01,program_new_mexico_state,game_2026_w01_0014,2026,1,program_sacramento_state,home,,
sched_program_sacramento_state_w01,program_sacramento_state,game_2026_w01_0014,2026,1,program_new_mexico_state,away,,
sched_program_san_jose_state_w01,program_san_jose_state,game_2026_w01_0015,2026,1,program_buffalo,home,,
sched_program_buffalo_w01,program_buffalo,game_2026_w01_0015,2026,1,program_san_jose_state,away,,
sched_program_ohio_state_w01,program_ohio_state,game_2026_w01_0016,2026,1,program_kansas,home,,
sched_program_kansas_w01,program_kansas,game_2026_w01_0016,2026,1,program_ohio_state,away,,
sched_program_ole_miss_w01,program_ole_miss,game_2026_w01_0017,2026,1,program_uab,home,,
sched_program_uab_w01,program_uab,game_2026_w01_0017,2026,1,program_ole_miss,away,,
sched_program_toledo_w01,program_toledo,game_2026_w01_0018,2026,1,program_nebraska,home,,
sched_program_nebraska_w01,program_nebraska,game_2026_w01_0018,2026,1,program_toledo,away,,
sched_program_minnesota_w01,program_minnesota,game_2026_w01_0019,2026,1,program_south_carolina,home,,
sched_program_south_carolina_w01,program_south_carolina,game_2026_w01_0019,2026,1,program_minnesota,away,,
sched_program_florida_w01,program_florida,game_2026_w01_0020,2026,1,program_southern_miss,home,,
sched_program_southern_miss_w01,program_southern_miss,game_2026_w01_0020,2026,1,program_florida,away,,
sched_program_michigan_state_w01,program_michigan_state,game_2026_w01_0021,2026,1,program_delaware,home,,
sched_program_delaware_w01,program_delaware,game_2026_w01_0021,2026,1,program_michigan_state,away,,
sched_program_bowling_green_w01,program_bowling_green,game_2026_w01_0022,2026,1,program_louisville,home,,
sched_program_louisville_w01,program_louisville,game_2026_w01_0022,2026,1,program_bowling_green,away,,
sched_program_fiu_w01,program_fiu,game_2026_w01_0023,2026,1,program_michigan,home,,
sched_program_michigan_w01,program_michigan,game_2026_w01_0023,2026,1,program_fiu,away,,
sched_program_temple_w01,program_temple,game_2026_w01_0024,2026,1,program_syracuse,home,,
sched_program_syracuse_w01,program_syracuse,game_2026_w01_0024,2026,1,program_temple,away,,
sched_program_north_dakota_state_w01,program_north_dakota_state,game_2026_w01_0025,2026,1,program_western_kentucky,home,,
sched_program_western_kentucky_w01,program_western_kentucky,game_2026_w01_0025,2026,1,program_north_dakota_state,away,,
sched_program_baylor_w01,program_baylor,game_2026_w01_0026,2026,1,program_lsu,home,,
sched_program_lsu_w01,program_lsu,game_2026_w01_0026,2026,1,program_baylor,away,,
sched_program_iowa_w01,program_iowa,game_2026_w01_0027,2026,1,program_colorado,home,,
sched_program_colorado_w01,program_colorado,game_2026_w01_0027,2026,1,program_iowa,away,,
sched_program_hawaii_w01,program_hawaii,game_2026_w01_0028,2026,1,program_penn_state,home,,
sched_program_penn_state_w01,program_penn_state,game_2026_w01_0028,2026,1,program_hawaii,away,,
sched_program_texas_w01,program_texas,game_2026_w01_0029,2026,1,program_new_mexico,home,,
sched_program_new_mexico_w01,program_new_mexico,game_2026_w01_0029,2026,1,program_texas,away,,
sched_program_boise_state_w01,program_boise_state,game_2026_w01_0030,2026,1,program_florida_state,home,,
sched_program_florida_state_w01,program_florida_state,game_2026_w01_0030,2026,1,program_boise_state,away,,
sched_program_louisiana_w01,program_louisiana,game_2026_w01_0031,2026,1,program_smu,home,,
sched_program_smu_w01,program_smu,game_2026_w01_0031,2026,1,program_louisiana,away,,
sched_program_western_michigan_w01,program_western_michigan,game_2026_w01_0032,2026,1,program_arizona_state,home,,
sched_program_arizona_state_w01,program_arizona_state,game_2026_w01_0032,2026,1,program_western_michigan,away,,
sched_program_appalachian_state_w01,program_appalachian_state,game_2026_w01_0033,2026,1,program_eastern_michigan,home,,
sched_program_eastern_michigan_w01,program_eastern_michigan,game_2026_w01_0033,2026,1,program_appalachian_state,away,,
